Team,Player,x,y,xG,Distance,Outcome,Body Part,Shot Type
Arsenal,Aaron Ramsey,111.5,47.4,0.15989672,11.269871339105872,Saved,Right Foot,Open Play
Sunderland,Yann Gérard M'Vila,90.2,39.0,0.022494936,29.816773802676906,Off T,Right Foot,Open Play
Sunderland,Duncan Watmore,108.8,53.8,0.09027687,17.773013250431116,Saved,Right Foot,Open Play
Sunderland,Patrick van Aanholt,106.2,27.6,0.13151245,18.552627846210893,Off T,Right Foot,Open Play
Arsenal,Aaron Ramsey,105.6,33.2,0.2151827,15.92482338991551,Saved,Right Foot,Open Play
Arsenal,Calum Chambers,97.4,44.4,0.041664135,23.0243349523933,Saved,Left Foot,Open Play
Arsenal,Calum Chambers,108.7,50.6,0.14443657,15.493547043850223,Blocked,Right Foot,Open Play
Arsenal,Aaron Ramsey,114.5,35.8,0.49451068,6.9202601107183845,Goal,Right Foot,Open Play
Liverpool,Christian Benteke Liolo,107.3,30.8,0.06821079,15.682155464093578,Off T,Left Foot,Open Play
Liverpool,Philippe Coutinho Correia,108.0,48.2,0.13439108,14.534097839219333,Post,Right Foot,Open Play
Arsenal,Alexis Alejandro Sánchez Sánchez,113.6,40.0,0.23137365,6.400000000000006,Off T,Head,Open Play
Arsenal,Alexis Alejandro Sánchez Sánchez,112.4,36.7,0.35746992,8.285529554590937,Saved Off Target,Right Foot,Open Play
Liverpool,Christian Benteke Liolo,110.6,55.1,0.052029558,17.786792853125608,Saved,Right Foot,Open Play
Arsenal,Alexis Alejandro Sánchez Sánchez,106.6,25.1,0.020304073,20.03921156133644,Blocked,Right Foot,Open Play
Liverpool,James Philip Milner,108.5,55.3,0.031531822,19.14001044931794,Blocked,Right Foot,Open Play
Liverpool,Dejan Lovren,109.2,40.5,0.045988224,10.811567878897119,Blocked,Head,Open Play
Arsenal,Olivier Giroud,109.1,37.2,0.041074086,11.253888216967509,Saved,Head,Open Play
Liverpool,James Philip Milner,114.6,31.4,0.16320802,10.154801819828888,Saved,Right Foot,Open Play
Liverpool,Nathaniel Edwin Clyne,102.1,52.4,0.04102502,21.77544488638522,Blocked,Left Foot,Open Play
Arsenal,Olivier Giroud,108.7,38.3,0.06631777,11.42716062720744,Wayward,Head,Open Play
Liverpool,Christian Benteke Liolo,109.6,39.2,0.05533009,10.430723848324243,Blocked,Head,Open Play
Liverpool,Christian Benteke Liolo,113.9,41.1,0.49856853,6.1983868869246885,Saved,Right Foot,Open Play
Liverpool,Roberto Firmino Barbosa de Oliveira,112.3,55.4,0.013416295,17.217723426748382,Saved,Right Foot,Open Play
Liverpool,Roberto Firmino Barbosa de Oliveira,103.1,52.4,0.047341608,20.961154548354443,Off T,Left Foot,Open Play
Liverpool,Christian Benteke Liolo,107.7,41.4,0.048366886,12.379418403139946,Wayward,Head,Open Play
Liverpool,Philippe Coutinho Correia,108.5,22.5,0.0121428,20.940391591371924,Post,Right Foot,Open Play
Arsenal,Santiago Cazorla González,93.6,30.2,0.024521416,28.16025568065745,Blocked,Left Foot,Open Play
Arsenal,Olivier Giroud,111.3,46.5,0.07472131,10.860018416190648,Blocked,Right Foot,Open Play
Arsenal,Olivier Giroud,101.4,30.1,0.048852883,21.070595625183447,Off T,Left Foot,Open Play
Arsenal,Alexis Alejandro Sánchez Sánchez,113.2,33.6,0.23745595,9.338094023942999,Post,Left Foot,Open Play
Liverpool,Philippe Coutinho Correia,93.0,38.7,0.04365819,27.031278179176063,Saved,Right Foot,Open Play
Arsenal,Francis Joseph Coquelin,89.6,33.7,0.0133034745,31.045933711196387,Wayward,Left Foot,Open Play
Arsenal,Aaron Ramsey,103.8,30.5,0.05706538,18.780042598460742,Blocked,Right Foot,Open Play
Arsenal,Héctor Bellerín Moruno,101.5,45.3,0.07208536,19.24421991144354,Blocked,Right Foot,Open Play
Arsenal,Olivier Giroud,110.9,39.1,0.45937872,9.14439719172346,Saved,Left Foot,Open Play
Liverpool,James Philip Milner,98.3,32.0,0.068609156,23.12768903284546,Saved,Left Foot,Open Play
Arsenal,Aaron Ramsey,97.6,27.4,0.028381012,25.700583650960155,Saved,Right Foot,Open Play
Liverpool,Christian Benteke Liolo,91.4,38.2,0.03112275,28.65658737533134,Off T,Left Foot,Open Play
Liverpool,Martin Škrtel,109.7,39.7,0.050695863,10.304368005850721,Wayward,Head,Open Play
Liverpool,Philippe Coutinho Correia,109.3,25.3,0.04754595,18.18185909086307,Saved,Left Foot,Open Play
Arsenal,Aaron Ramsey,94.5,55.1,0.022203574,29.63545174280291,Saved,Right Foot,Open Play
Arsenal,Gabriel Armando de Abreu,111.4,40.4,0.102204666,8.609297300012347,Wayward,Head,Open Play
Arsenal,Alex Oxlade-Chamberlain,99.2,43.3,0.05029107,21.06015194627047,Off T,Right Foot,Open Play
Arsenal,Mesut Özil,102.4,27.9,0.043571517,21.358136622842355,Blocked,Right Foot,Open Play
Arsenal,Santiago Cazorla González,93.0,31.8,0.023947882,28.2177249260106,Off T,Right Foot,Open Play
Arsenal,Alex Oxlade-Chamberlain,92.4,47.9,0.025291879,28.708361151413705,Saved,Left Foot,Open Play
Arsenal,Gabriel Armando de Abreu,112.0,43.7,0.109083764,8.814193099768126,Off T,Head,Open Play
Arsenal,Olivier Giroud,110.2,33.0,0.037150692,12.043255373859676,Off T,Head,Open Play
Southampton,Sadio Mané,98.3,23.2,0.023512686,27.443214097477725,Blocked,Right Foot,Open Play
Arsenal,Olivier Giroud,109.9,38.0,0.054492332,10.296115772464871,Blocked,Head,Open Play
Arsenal,Ignacio Monreal Eraso,109.0,32.3,0.090159394,13.427211177307075,Saved,Right Foot,Open Play
Southampton,Rhu-endly Martina,91.2,53.3,0.01503056,31.722704802711885,Goal,Right Foot,Open Play
Southampton,James Ward-Prowse,98.2,44.6,0.09693866,22.280035906613794,Off T,Left Foot,Open Play
Southampton,James Ward-Prowse,97.3,31.3,0.03744624,24.310080213771407,Off T,Right Foot,Open Play
Southampton,Steven Davis,105.1,51.5,0.11463291,18.821795876058165,Wayward,Right Foot,Open Play
